platform,category,attribute,value,value_cleaned,report_date
daraz.com.bd,last month,Bounce Rate,44.83%,0.44830000400543213,2024-04-25
foodpanda.com.bd,intro,Company,Foodpanda,,2024-04-25
foodpanda.com.bd,intro,Annual Revenue,> $1B,,2024-04-25
foodpanda.com.bd,intro,Industry,Computers Electronics and Technology > Computers Electronics and Technology - Other,,2024-04-25
foodpanda.com.bd,rank,Country Rank,#171,171.0,2024-04-25
shajgoj.com,marketing channel,Referrals,0%,0.0,2024-04-25
shajgoj.com,marketing channel,Organic Search,70.19%,0.7019000053405762,2024-04-25
shajgoj.com,age,18 - 24,23.68%,0.23680000007152557,2024-04-25
shajgoj.com,age,55 - 64,3.41%,0.0340999998152256,2024-04-25
shajgoj.com,last month,Avg Visit Duration,00:01:35,95.0,2024-04-25
ohsogo.com,marketing channel,Paid Search,11.14%,0.11140000075101852,2024-04-25
ohsogo.com,rank,Category Rank,#740,740.0,2024-04-25
ohsogo.com,gender,Male,54.96%,0.5496000051498413,2024-04-25
ushopbd.com,marketing channel,Direct,23.53%,0.2353000044822693,2024-04-25
ushopbd.com,rank,Country Rank,"#1,252",1252.0,2024-04-25
chaldal.com,age,45 - 54,6.27%,0.06270000338554382,2024-04-25
chaldal.com,intro,Annual Revenue,$200M - $500M,,2024-04-25
chaldal.com,rank,Category Rank,#937,937.0,2024-04-25
shwapno.com,marketing channel,Social,0.36%,0.0036000001709908247,2024-04-25
shwapno.com,intro,Annual Revenue,$200M - $500M,,2024-04-25
shwapno.com,last month,Pages per Visit,5.39,5.389999866485596,2024-04-25
shwapno.com,last month,Last Month Change,4.53%,0.04530000314116478,2024-04-25
daraz.com.bd,marketing channel,Organic Search,35.03%,0.35029998421669006,2024-04-25
daraz.com.bd,age,18 - 24,21.75%,0.2175000011920929,2024-04-25
daraz.com.bd,intro,Year Founded,- -,,2024-04-25
daraz.com.bd,intro,Employees,- -,,2024-04-25
daraz.com.bd,last month,Total Visits,10.9M,10900000.0,2024-04-25
foodpanda.com.bd,marketing channel,Social,1.21%,0.01209999993443489,2024-04-25
foodpanda.com.bd,marketing channel,Display,1.3%,0.012999999336898327,2024-04-25
foodpanda.com.bd,age,18 - 24,24.44%,0.2444000095129013,2024-04-25
foodpanda.com.bd,intro,HQ,"Germany, Berlin",,2024-04-25
foodpanda.com.bd,rank,Global Rank,"#46,996",46996.0,2024-04-25
shajgoj.com,marketing channel,Direct,20.16%,0.20160000026226044,2024-04-25
ohsogo.com,marketing channel,Referrals,0.13%,0.0013000000035390258,2024-04-25
ohsogo.com,intro,Company,- -,,2024-04-25
ohsogo.com,intro,Employees,- -,,2024-04-25
ohsogo.com,intro,HQ,- -,,2024-04-25
ohsogo.com,intro,Annual Revenue,- -,,2024-04-25
ohsogo.com,rank,Country Rank,#378,378.0,2024-04-25
ohsogo.com,last month,Pages per Visit,4.96,4.960000038146973,2024-04-25
ohsogo.com,last month,Avg Visit Duration,00:03:32,212.0,2024-04-25
ushopbd.com,marketing channel,Social,1.95%,0.019500000402331352,2024-04-25
ushopbd.com,age,35 - 44,27.25%,0.27250000834465027,2024-04-25
ushopbd.com,age,65+,8.57%,0.08569999784231186,2024-04-25
ushopbd.com,intro,Employees,- -,,2024-04-25
ushopbd.com,rank,Category Rank,"#6,717",6717.0,2024-04-25
ushopbd.com,last month,Bounce Rate,71.6%,0.715999960899353,2024-04-25
ushopbd.com,last month,Last Month Change,120%,1.2000000476837158,2024-04-25
chaldal.com,marketing channel,Organic Search,47.98%,0.4797999858856201,2024-04-25
chaldal.com,age,25 - 34,37.95%,0.37950000166893005,2024-04-25
chaldal.com,intro,HQ,"Bangladesh, Dhaka",,2024-04-25
shwapno.com,marketing channel,Direct,34.13%,0.34130001068115234,2024-04-25
shwapno.com,marketing channel,Organic Search,64.96%,0.6495999693870544,2024-04-25
shwapno.com,age,45 - 54,7.6%,0.07599999755620956,2024-04-25
shwapno.com,intro,Employees,1001 - 5000,,2024-04-25
shwapno.com,intro,Industry,Finance > Banking Credit and Lending,,2024-04-25
shwapno.com,rank,Country Rank,#753,753.0,2024-04-25
shwapno.com,gender,Male,78.9%,0.7890000343322754,2024-04-25
shwapno.com,last month,Avg Visit Duration,00:03:51,231.0,2024-04-25
daraz.com.bd,age,35 - 44,25.75%,0.2574999928474426,2024-04-25
daraz.com.bd,rank,Country Rank,#8,8.0,2024-04-25
daraz.com.bd,last month,Last Month Change,7.77%,0.07769999653100967,2024-04-25
foodpanda.com.bd,marketing channel,Mail,0.3%,0.003000000026077032,2024-04-25
foodpanda.com.bd,age,55 - 64,3.25%,0.032499998807907104,2024-04-25
foodpanda.com.bd,last month,Total Visits,910.3K,910300.0,2024-04-25
foodpanda.com.bd,last month,Avg Visit Duration,00:05:28,328.0,2024-04-25
shajgoj.com,marketing channel,Paid Search,3.52%,0.03519999980926514,2024-04-25
shajgoj.com,intro,Year Founded,2018,2018.0,2024-04-25
shajgoj.com,intro,Employees,501 - 1000,,2024-04-25
ohsogo.com,age,25 - 34,35.22%,0.3522000014781952,2024-04-25
ohsogo.com,last month,Bounce Rate,35.85%,0.3584999740123749,2024-04-25
